"ID","Year","Tissue","Gender","dta_km","dtfl_km","Longitude","Latitude","Month_of_Capture","Mantle_length_mm","Wet_Weight_g","Maturity_level","Metal_A_concentration","Metal_B_concentration","Metal_C_concentration","Metal_D_concentration","Metal_E_concentration","Metal_F_concentration","Metal_G_concentration","Metal_H_concentration","Metal_I_concentration","Metal_J_concentration","Organic_A_concentration","Organic_B_concentration","Organic_C_concentration","Organic_D_concentration","Metal_A_status","Metal_B_status","Metal_C_status","Metal_D_status","Metal_E_status","Metal_F_status","Metal_G_status","Metal_H_status","Metal_I_status","Metal_J_status","Organic_A_status","Organic_B_status","Organic_C_status","Organic_D_status","Metal_A_outlier","Metal_B_outlier","Metal_C_outlier","Metal_D_outlier","Metal_E_outlier","Metal_F_outlier","Metal_G_outlier","Metal_H_outlier","Metal_I_outlier","Metal_J_outlier","Organic_A_outlier","Organic_B_outlier","Organic_C_outlier","Organic_D_outlier"
"26_01_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","289.1","525.56","4",10230.93,9.94,601.74,56.97,120.21,0.11,6.4,0.64,0.05,0,0,0.109,0,3.526,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_02_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","276.4","553.24","3",2288.32,7.55,2045.81,136.6,95.45,0.22,6.45,1.16,0.03,0,0,0.104,0,0.674,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_03_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","249","323.08","3",9508.16,5.23,1769.79,131.63,136.33,0.32,7.99,0.56,0.06,0,0,0.138,0,0.533,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_04_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","255.7","341.07","4",231.6,3.68,2248.97,32.88,104.58,0.2,14.02,2.01,0.05,0,0,0.118,0,0.448,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_05_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","269.9","392.15","4",5616.56,8.12,330.61,42.87,114.8,0.23,12.2,0.87,0.06,0,0,0.112,0,1.175,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_06_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","266.4","413.92","4",3619.55,1.26,1036.6,157.4,115.83,0.33,4.81,2.03,0.06,0,0,0.145,0,1.394,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_07_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","246.8","320.41","3",4305.95,5.53,1574.15,55.8,158.17,0.31,9.07,2.01,0.06,0,0,0.202,0,1.119,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_08_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","254","352.35","3",6223.54,6.6,1349.31,121.11,114.36,0.31,9.96,1.72,0.03,0,0,0.17,0,0.864,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_09_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","252.1","346.71","3",4168.54,6.07,382.76,162.86,130.88,0.26,7.66,0.92,0.06,0,0,0.161,0,0.649,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_10_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","281","514.47","3",6752.34,6.09,887.95,62.94,87.02,0.28,13.85,1.55,0.05,0,0,0.131,0,1.69,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_11_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","284.3","537.33","4",953.32,0.2,677.11,100.49,81.95,0.17,10.91,1.55,0.05,0,1.493,0.201,0,14.428,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"26_12_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","268.8","435.05","3",4372.4,5.63,737.7,75.11,101.56,0.1,2.08,1.03,0.02,0,0,0.106,0,2.294,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Not detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_13_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","273.7","434.67","4",11412.05,0.36,1501.18,138.35,119.79,0.19,16.67,1.5,0.05,0,1.528,0.138,0,8.197,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_14_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","275","485.43","5",10346.83,2.75,1682.97,111.63,95.91,0.22,11.76,1.66,0.06,0,1.394,0.19,0.029,9.284,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Detected","Detected","Detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26_15_stomach",2019,"stomach","0","590","148","059°36'W","49°55'S","6","242.7","342.63","5",4761.83,2.84,702.2,82.08,162.73,0.15,16.74,0.8,0.06,0,19.225,0.208,0,13.375,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes"
"28_01_stomach",2019,"stomach","0","536","192","060°08'W","49°27'S","5","268.7","428.87","3",10019.18,5.92,680.94,124.36,137.83,0.32,15.27,2.05,0.01,0,12.118,0.189,0,11.11,"Detected","Detected","Detected","Detected","Detected","BLOQ","Detected","BLOQ","BLOQ","Not detected","Detected","Detected","Not detected","Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
