"year","pollutant","Tissue","Total_N","status","values"
"2019","Metal_A","liver",30,"BLOD",0
"2019","Metal_A","liver",30,"BLOQ",0
"2019","Metal_A","liver",30,"Outliers",0
"2019","Metal_A","liver",30,"Detected",30
"2019","Metal_A","stomach",30,"BLOD",0
"2019","Metal_A","stomach",30,"BLOQ",0
"2019","Metal_A","stomach",30,"Outliers",0
"2019","Metal_A","stomach",30,"Detected",30
"2019","Metal_A","muscle",30,"BLOD",0
"2019","Metal_A","muscle",30,"BLOQ",0
"2019","Metal_A","muscle",30,"Outliers",0
"2019","Metal_A","muscle",30,"Detected",30
"2019","Metal_A","inksac",0,"BLOD",0
"2019","Metal_A","inksac",0,"BLOQ",0
"2019","Metal_A","inksac",0,"Outliers",0
"2019","Metal_A","inksac",0,"Detected",0
"2019","Metal_B","liver",30,"BLOD",0
"2019","Metal_B","liver",30,"BLOQ",0
"2019","Metal_B","liver",30,"Outliers",0
"2019","Metal_B","liver",30,"Detected",30
"2019","Metal_B","stomach",30,"BLOD",0
"2019","Metal_B","stomach",30,"BLOQ",0
"2019","Metal_B","stomach",30,"Outliers",0
"2019","Metal_B","stomach",30,"Detected",30
"2019","Metal_B","muscle",30,"BLOD",0
"2019","Metal_B","muscle",30,"BLOQ",0
"2019","Metal_B","muscle",30,"Outliers",0
"2019","Metal_B","muscle",30,"Detected",30
"2019","Metal_B","inksac",0,"BLOD",0
"2019","Metal_B","inksac",0,"BLOQ",0
"2019","Metal_B","inksac",0,"Outliers",0
"2019","Metal_B","inksac",0,"Detected",0
"2019","Metal_C","liver",30,"BLOD",0
"2019","Metal_C","liver",30,"BLOQ",0
"2019","Metal_C","liver",30,"Outliers",0
"2019","Metal_C","liver",30,"Detected",30
"2019","Metal_C","stomach",30,"BLOD",0
"2019","Metal_C","stomach",30,"BLOQ",0
"2019","Metal_C","stomach",30,"Outliers",0
"2019","Metal_C","stomach",30,"Detected",30
"2019","Metal_C","muscle",30,"BLOD",0
"2019","Metal_C","muscle",30,"BLOQ",0
"2019","Metal_C","muscle",30,"Outliers",0
"2019","Metal_C","muscle",30,"Detected",30
"2019","Metal_C","inksac",0,"BLOD",0
"2019","Metal_C","inksac",0,"BLOQ",0
"2019","Metal_C","inksac",0,"Outliers",0
"2019","Metal_C","inksac",0,"Detected",0
"2019","Metal_D","liver",30,"BLOD",0
"2019","Metal_D","liver",30,"BLOQ",0
"2019","Metal_D","liver",30,"Outliers",0
"2019","Metal_D","liver",30,"Detected",30
"2019","Metal_D","stomach",30,"BLOD",0
"2019","Metal_D","stomach",30,"BLOQ",0
"2019","Metal_D","stomach",30,"Outliers",0
"2019","Metal_D","stomach",30,"Detected",30
"2019","Metal_D","muscle",30,"BLOD",0
"2019","Metal_D","muscle",30,"BLOQ",0
"2019","Metal_D","muscle",30,"Outliers",0
"2019","Metal_D","muscle",30,"Detected",30
"2019","Metal_D","inksac",0,"BLOD",0
"2019","Metal_D","inksac",0,"BLOQ",0
"2019","Metal_D","inksac",0,"Outliers",0
"2019","Metal_D","inksac",0,"Detected",0
"2019","Metal_E","liver",30,"BLOD",0
"2019","Metal_E","liver",30,"BLOQ",0
"2019","Metal_E","liver",30,"Outliers",0
"2019","Metal_E","liver",30,"Detected",30
"2019","Metal_E","stomach",30,"BLOD",0
"2019","Metal_E","stomach",30,"BLOQ",0
"2019","Metal_E","stomach",30,"Outliers",0
"2019","Metal_E","stomach",30,"Detected",30
"2019","Metal_E","muscle",30,"BLOD",0
"2019","Metal_E","muscle",30,"BLOQ",0
"2019","Metal_E","muscle",30,"Outliers",0
"2019","Metal_E","muscle",30,"Detected",30
"2019","Metal_E","inksac",0,"BLOD",0
"2019","Metal_E","inksac",0,"BLOQ",0
"2019","Metal_E","inksac",0,"Outliers",0
"2019","Metal_E","inksac",0,"Detected",0
"2019","Metal_F","liver",30,"BLOD",0
"2019","Metal_F","liver",30,"BLOQ",0
"2019","Metal_F","liver",30,"Outliers",0
"2019","Metal_F","liver",30,"Detected",30
"2019","Metal_F","stomach",30,"BLOD",0
"2019","Metal_F","stomach",30,"BLOQ",30
"2019","Metal_F","stomach",30,"Outliers",0
"2019","Metal_F","stomach",30,"Detected",0
"2019","Metal_F","muscle",30,"BLOD",0
"2019","Metal_F","muscle",30,"BLOQ",30
"2019","Metal_F","muscle",30,"Outliers",0
"2019","Metal_F","muscle",30,"Detected",0
"2019","Metal_F","inksac",0,"BLOD",0
"2019","Metal_F","inksac",0,"BLOQ",0
"2019","Metal_F","inksac",0,"Outliers",0
"2019","Metal_F","inksac",0,"Detected",0
"2019","Metal_G","liver",30,"BLOD",0
"2019","Metal_G","liver",30,"BLOQ",0
"2019","Metal_G","liver",30,"Outliers",0
"2019","Metal_G","liver",30,"Detected",30
"2019","Metal_G","stomach",30,"BLOD",0
"2019","Metal_G","stomach",30,"BLOQ",0
"2019","Metal_G","stomach",30,"Outliers",0
"2019","Metal_G","stomach",30,"Detected",30
"2019","Metal_G","muscle",30,"BLOD",0
"2019","Metal_G","muscle",30,"BLOQ",0
"2019","Metal_G","muscle",30,"Outliers",0
"2019","Metal_G","muscle",30,"Detected",30
"2019","Metal_G","inksac",0,"BLOD",0
"2019","Metal_G","inksac",0,"BLOQ",0
"2019","Metal_G","inksac",0,"Outliers",0
"2019","Metal_G","inksac",0,"Detected",0
"2019","Metal_H","liver",30,"BLOD",0
"2019","Metal_H","liver",30,"BLOQ",30
"2019","Metal_H","liver",30,"Outliers",0
"2019","Metal_H","liver",30,"Detected",0
"2019","Metal_H","stomach",30,"BLOD",0
"2019","Metal_H","stomach",30,"BLOQ",30
"2019","Metal_H","stomach",30,"Outliers",0
"2019","Metal_H","stomach",30,"Detected",0
"2019","Metal_H","muscle",30,"BLOD",0
"2019","Metal_H","muscle",30,"BLOQ",30
"2019","Metal_H","muscle",30,"Outliers",0
"2019","Metal_H","muscle",30,"Detected",0
"2019","Metal_H","inksac",0,"BLOD",0
"2019","Metal_H","inksac",0,"BLOQ",0
"2019","Metal_H","inksac",0,"Outliers",0
"2019","Metal_H","inksac",0,"Detected",0
"2019","Metal_I","liver",30,"BLOD",1
"2019","Metal_I","liver",30,"BLOQ",5
"2019","Metal_I","liver",30,"Outliers",0
"2019","Metal_I","liver",30,"Detected",24
"2019","Metal_I","stomach",30,"BLOD",0
"2019","Metal_I","stomach",30,"BLOQ",30
"2019","Metal_I","stomach",30,"Outliers",0
"2019","Metal_I","stomach",30,"Detected",0
"2019","Metal_I","muscle",30,"BLOD",18
"2019","Metal_I","muscle",30,"BLOQ",12
"2019","Metal_I","muscle",30,"Outliers",0
"2019","Metal_I","muscle",30,"Detected",0
"2019","Metal_I","inksac",0,"BLOD",0
"2019","Metal_I","inksac",0,"BLOQ",0
"2019","Metal_I","inksac",0,"Outliers",0
"2019","Metal_I","inksac",0,"Detected",0
"2019","Metal_J","liver",30,"BLOD",0
"2019","Metal_J","liver",30,"BLOQ",0
