"ID","Year","Tissue","variable","Values","pollutant","concentrations","status","Values_numeric","outlier"
"26_01_muscle",2019,"muscle","dta_km","590","Organic_A","3.138","Detected",590,"no"
"26_01_muscle",2019,"muscle","dta_km","590","Organic_B","0.026","Detected",590,"no"
"26_01_muscle",2019,"muscle","dta_km","590","Organic_C","0","Not detected",590,"no"
"26_01_muscle",2019,"muscle","dta_km","590","Organic_D","0.445","Detected",590,"no"
"26_01_muscle",2019,"muscle","dtfl_km","148","Organic_A","3.138","Detected",148,"no"
"26_01_muscle",2019,"muscle","dtfl_km","148","Organic_B","0.026","Detected",148,"no"
"26_01_muscle",2019,"muscle","dtfl_km","148","Organic_C","0","Not detected",148,"no"
"26_01_muscle",2019,"muscle","dtfl_km","148","Organic_D","0.445","Detected",148,"no"
"26_01_muscle",2019,"muscle","Month_of_Capture","6","Organic_A","3.138","Detected",6,"no"
"26_01_muscle",2019,"muscle","Month_of_Capture","6","Organic_B","0.026","Detected",6,"no"
"26_01_muscle",2019,"muscle","Month_of_Capture","6","Organic_C","0","Not detected",6,"no"
"26_01_muscle",2019,"muscle","Month_of_Capture","6","Organic_D","0.445","Detected",6,"no"
"26_01_muscle",2019,"muscle","Latitude","49°55'S","Organic_A","3.138","Detected",-49.9166666666667,"no"
"26_01_muscle",2019,"muscle","Latitude","49°55'S","Organic_B","0.026","Detected",-49.9166666666667,"no"
"26_01_muscle",2019,"muscle","Latitude","49°55'S","Organic_C","0","Not detected",-49.9166666666667,"no"
"26_01_muscle",2019,"muscle","Latitude","49°55'S","Organic_D","0.445","Detected",-49.9166666666667,"no"
"26_01_muscle",2019,"muscle","Mantle_length_mm","289.1","Organic_A","3.138","Detected",289.1,"no"
"26_01_muscle",2019,"muscle","Mantle_length_mm","289.1","Organic_B","0.026","Detected",289.1,"no"
"26_01_muscle",2019,"muscle","Mantle_length_mm","289.1","Organic_C","0","Not detected",289.1,"no"
"26_01_muscle",2019,"muscle","Mantle_length_mm","289.1","Organic_D","0.445","Detected",289.1,"no"
"26_01_muscle",2019,"muscle","Wet_Weight_g","525.56","Organic_A","3.138","Detected",525.56,"no"
"26_01_muscle",2019,"muscle","Wet_Weight_g","525.56","Organic_B","0.026","Detected",525.56,"no"
"26_01_muscle",2019,"muscle","Wet_Weight_g","525.56","Organic_C","0","Not detected",525.56,"no"
"26_01_muscle",2019,"muscle","Wet_Weight_g","525.56","Organic_D","0.445","Detected",525.56,"no"
"26_01_muscle",2019,"muscle","Maturity_level","4","Organic_A","3.138","Detected",4,"no"
"26_01_muscle",2019,"muscle","Maturity_level","4","Organic_B","0.026","Detected",4,"no"
"26_01_muscle",2019,"muscle","Maturity_level","4","Organic_C","0","Not detected",4,"no"
"26_01_muscle",2019,"muscle","Maturity_level","4","Organic_D","0.445","Detected",4,"no"
"26_01_muscle",2019,"muscle","Gender","0","Organic_A","3.138","Detected",0,"no"
"26_01_muscle",2019,"muscle","Gender","0","Organic_B","0.026","Detected",0,"no"
"26_01_muscle",2019,"muscle","Gender","0","Organic_C","0","Not detected",0,"no"
"26_01_muscle",2019,"muscle","Gender","0","Organic_D","0.445","Detected",0,"no"
"26_02_muscle",2019,"muscle","dta_km","590","Organic_A","10.124","Detected",590,"yes"
"26_02_muscle",2019,"muscle","dta_km","590","Organic_B","0.048","Detected",590,"no"
"26_02_muscle",2019,"muscle","dta_km","590","Organic_C","0","Not detected",590,"no"
"26_02_muscle",2019,"muscle","dta_km","590","Organic_D","1.536","Detected",590,"no"
