"ID","Year","Gender","dta_km","dtfl_km","Longitude","Latitude","Month_of_Capture","Mantle_length_mm","Wet_Weight_g","Maturity_level","size","Tissue","Metal_A_concentration","Metal_A_status","Metal_B_concentration","Metal_B_status","Metal_C_concentration","Metal_C_status","Metal_D_concentration","Metal_D_status","Metal_E_concentration","Metal_E_status","Metal_F_concentration","Metal_F_status","Metal_G_concentration","Metal_G_status","Metal_H_concentration","Metal_H_status","Metal_I_concentration","Metal_I_status","Metal_J_concentration","Metal_J_status","Organic_A_concentration","Organic_A_status","Organic_B_concentration","Organic_B_status","Organic_C_concentration","Organic_C_status","Organic_D_concentration","Organic_D_status","Metal_A_outlier","Metal_B_outlier","Metal_C_outlier","Metal_D_outlier","Metal_E_outlier","Metal_F_outlier","Metal_G_outlier","Metal_H_outlier","Metal_I_outlier","Metal_J_outlier","Organic_A_outlier","Organic_B_outlier","Organic_C_outlier","Organic_D_outlier"
"49_14_muscle",2021,1,376,460,"46°55'S","60°51'W",5,181,119.6,2,"small (181 mm - 237.3 mm)","muscle",14.51,"Detected",0.06,"BLOD",1.27,"Detected",32.49,"Detected",68.98,"Detected",0.04,"BLOQ",7.67,"Detected",0.04,"BLOQ",0.01,"BLOQ",0.41,"Detected",0.179,"Detected",0.108,"Detected",0,"BLOD",0.725,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_14_liver",2021,1,376,460,"46°55'S","60°51'W",5,181,119.6,2,"small (181 mm - 237.3 mm)","liver",70.5,"Detected",0.52,"Detected",4.04,"Detected",248.38,"Detected",214,"Detected",2.49,"BLOQ",229.57,"Detected",2.06,"BLOQ",0.08,"Detected",0.23,"Detected",0,"BLOD",0.084,"Detected",0,"BLOD",6.337,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_14_inksac",2021,1,376,460,"46°55'S","60°51'W",5,181,119.6,2,"small (181 mm - 237.3 mm)","inksac",6.95,"Detected",0.05,"BLOD",2.87,"Detected",58.47,"Detected",70.66,"Detected",0.23,"BLOQ",47.35,"Detected",0.11,"BLOQ",0,"BLOD",0.6,"Detected",1.73,"Detected",0.52,"Detected",0,"BLOD",0.507,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_14_stomach",2021,1,376,460,"46°55'S","60°51'W",5,181,119.6,2,"small (181 mm - 237.3 mm)","stomach",6235.04,"Detected",6.74,"Detected",1941.69,"Detected",80.79,"Detected",101.26,"Detected",0.16,"BLOQ",15.32,"Detected",2.83,"BLOQ",0.02,"BLOQ",0.4,"BLOQ",0.606,"Detected",0.211,"Detected",0,"BLOD",2.864,"Detected","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"49_07_muscle",2021,1,376,460,"46°55'S","60°51'W",5,183,108.6,1,"small (181 mm - 237.3 mm)","muscle",14.99,"Detected",0.06,"BLOD",1.91,"Detected",22.58,"Detected",67.22,"Detected",0.09,"BLOQ",1.87,"Detected",0.08,"BLOQ",0.01,"BLOQ",0.27,"Detected",0.262,"Detected",0.09,"Detected",0,"BLOD",0.257,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_07_liver",2021,1,376,460,"46°55'S","60°51'W",5,183,108.6,1,"small (181 mm - 237.3 mm)","liver",87.69,"Detected",0.67,"Detected",2.68,"Detected",145.67,"Detected",196.17,"Detected",0.14,"Detected",277.8,"Detected",2.38,"BLOQ",0.09,"BLOQ",0.44,"Detected",0,"BLOD",0.038,"Detected",0,"BLOD",1.929,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_07_inksac",2021,1,376,460,"46°55'S","60°51'W",5,183,108.6,1,"small (181 mm - 237.3 mm)","inksac",60.96,"Detected",0.05,"BLOD",1.91,"Detected",156.33,"Detected",42.18,"Detected",0.35,"BLOQ",20.67,"Detected",0.24,"BLOQ",0,"BLOD",0.2,"Detected",0,"BLOD",0.077,"Detected",0,"BLOD",6.462,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"49_07_stomach",2021,1,376,460,"46°55'S","60°51'W",5,183,108.6,1,"small (181 mm - 237.3 mm)","stomach",3709.4,"Detected",13.52,"Detected",3325.41,"Detected",488.52,"Detected",299.65,"Detected",0.76,"BLOQ",35.66,"Detected",10.22,"BLOQ",0.03,"BLOQ",0.88,"BLOQ",0,"BLOD",0.056,"Detected",0,"BLOD",2.169,"Detected","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no"
"49_11_muscle",2021,0,376,460,"46°55'S","60°51'W",5,186,107.6,1,"small (181 mm - 237.3 mm)","muscle",16.4,"Detected",0.06,"BLOD",1.44,"Detected",72.44,"Detected",57.95,"Detected",0.08,"BLOQ",4.06,"Detected",0.03,"BLOD",0.02,"BLOQ",0.21,"Detected",0,"BLOD",0.075,"Detected",10,"BLOQ",0.647,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_11_liver",2021,0,376,460,"46°55'S","60°51'W",5,186,107.6,1,"small (181 mm - 237.3 mm)","liver",81.7,"Detected",0.66,"Detected",3.9,"Detected",198.9,"Detected",113.48,"Detected",1.63,"BLOQ",237.18,"Detected",0.3,"BLOQ",0.03,"BLOQ",0.42,"Detected",0,"BLOD",0.413,"Detected",0,"BLOD",41.556,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_11_inksac",2021,0,376,460,"46°55'S","60°51'W",5,186,107.6,1,"small (181 mm - 237.3 mm)","inksac",74.86,"Detected",0.06,"BLOD",8.13,"Detected",96.8,"Detected",35.83,"Detected",0.38,"BLOQ",55.13,"Detected",0.19,"BLOQ",0.01,"BLOD",0.03,"Detected",1.116,"Detected",0.398,"Detected",0,"BLOD",1.337,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_11_stomach",2021,0,376,460,"46°55'S","60°51'W",5,186,107.6,1,"small (181 mm - 237.3 mm)","stomach",8378.81,"Detected",7.97,"Detected",1317.25,"Detected",120.69,"Detected",81.71,"Detected",0.28,"BLOQ",2.2,"Detected",2.68,"BLOQ",0.01,"BLOQ",0.33,"BLOQ",0.115,"Detected",0.175,"Detected",0,"BLOD",2.359,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_12_muscle",2021,0,376,460,"46°55'S","60°51'W",5,192,151.7,1,"small (181 mm - 237.3 mm)","muscle",10.54,"Detected",0.06,"BLOD",0.45,"Detected",93.01,"Detected",60.49,"Detected",0.11,"BLOQ",4.33,"Detected",0.05,"BLOQ",0.01,"BLOQ",0.14,"Detected",1.438,"Detected",0.171,"Detected",10,"BLOQ",0.59,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_12_liver",2021,0,376,460,"46°55'S","60°51'W",5,192,151.7,1,"small (181 mm - 237.3 mm)","liver",67.66,"Detected",0.56,"Detected",3.01,"Detected",272.3,"Detected",130.87,"Detected",0.17,"Detected",263.19,"Detected",1.96,"BLOQ",0.07,"Detected",0.38,"Detected",0,"BLOD",0.07,"Detected",0,"BLOD",3.968,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_12_inksac",2021,0,376,460,"46°55'S","60°51'W",5,192,151.7,1,"small (181 mm - 237.3 mm)","inksac",27.01,"Detected",0.06,"BLOD",4.19,"Detected",205.64,"Detected",37.72,"Detected",0.16,"BLOQ",55.28,"Detected",0.21,"BLOQ",0,"BLOD",0.36,"Detected",7.097,"Detected",0.289,"Detected",0,"BLOD",0.898,"Detected","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"49_12_stomach",2021,0,376,460,"46°55'S","60°51'W",5,192,151.7,1,"small (181 mm - 237.3 mm)","stomach",7074.96,"Detected",5.72,"Detected",106.63,"Detected",108.27,"Detected",90.9,"Detected",0.45,"BLOQ",16.69,"Detected",2.35,"BLOQ",0.03,"BLOQ",0.08,"Detected",0,"BLOD",2.5,"BLOQ",0,"BLOD",4.196,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_15_muscle",2021,1,376,460,"46°55'S","60°51'W",5,194,148.5,3,"small (181 mm - 237.3 mm)","muscle",18.51,"Detected",0.06,"BLOD",0.98,"Detected",28.81,"Detected",39.45,"Detected",0.17,"BLOQ",5.24,"Detected",0.05,"BLOQ",0.02,"BLOQ",0.33,"Detected",0.295,"Detected",0.117,"Detected",0,"BLOD",0.43,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_15_liver",2021,1,376,460,"46°55'S","60°51'W",5,194,148.5,3,"small (181 mm - 237.3 mm)","liver",92.21,"Detected",0.52,"Detected",2.38,"Detected",272.5,"Detected",189.37,"Detected",2.19,"BLOQ",197.02,"Detected",1.64,"BLOQ",0.11,"BLOQ",0.41,"Detected",0,"BLOD",0.121,"Detected",0,"BLOD",4.466,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_15_inksac",2021,1,376,460,"46°55'S","60°51'W",5,194,148.5,3,"small (181 mm - 237.3 mm)","inksac",64.92,"Detected",0.06,"BLOD",7.05,"Detected",164.51,"Detected",55.2,"Detected",0.26,"BLOQ",32.17,"Detected",0.23,"BLOQ",0,"BLOD",0.58,"Detected",1.893,"Detected",0.608,"Detected",0,"BLOD",1.364,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_15_stomach",2021,1,376,460,"46°55'S","60°51'W",5,194,148.5,3,"small (181 mm - 237.3 mm)","stomach",5934.23,"Detected",5,"Detected",45.68,"Detected",83.99,"Detected",87.46,"Detected",0.21,"BLOQ",2.9,"Detected",1.53,"BLOQ",0.03,"BLOQ",0.39,"BLOQ",0,"BLOD",2.5,"BLOQ",0,"BLOD",4.146,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49_10_muscle",2021,1,376,460,"46°55'S","60°51'W",5,197,140.3,2,"small (181 mm - 237.3 mm)","muscle",8.86,"Detected",0.06,"BLOD",1.6,"Detected",22.95,"Detected",55.61,"Detected",0.07,"BLOQ",1.95,"Detected",0.06,"BLOQ",0.02,"BLOQ",0.23,"Detected",0.163,"Detected",0.09,"Detected",0,"BLOD",0.249,"Detected","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
