ID,DW,Year,ID_num,Area,Tissue,Gender,dta_km,dtfl_km,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Metal_A,Metal_B,Metal_C,Metal_D,Metal_E,Metal_F,Metal_G,Metal_H,Metal_I,Metal_J
26_01_muscle,100.8,2019,01,26,muscle,0,590,148,059°36'W,49°55'S,6,289.1,525.56,4,14.9,0.04 BLOD,1.25,75.36,58.41,0.12 BLOQ,9.52,0.13 BLOQ,0.01 BLOQ,0.42
26_02_muscle,100.4,2019,02,26,muscle,0,590,148,059°36'W,49°55'S,6,276.4,553.24,3,2.34,0.04 BLOD,1.29,24.94,62.39,0.14 BLOQ,1.93,0.11 BLOQ,0 BLOD,0.56
26_03_muscle,106.8,2019,03,26,muscle,0,590,148,059°36'W,49°55'S,6,249.0,323.08,3,19.4,0.04 BLOD,0.81,31.18,41.98,0.13 BLOQ,6.86,0.17 BLOQ,0 BLOD,0.24
26_04_muscle,105.2,2019,04,26,muscle,0,590,148,059°36'W,49°55'S,6,255.7,341.07,4,13.43,0.04 BLOD,0.89,74.62,57.37,0.08 BLOQ,7.37,0.15 BLOQ,0 BLOD,0.19
26_05_muscle,104.1,2019,05,26,muscle,0,590,148,059°36'W,49°55'S,6,269.9,392.15,4,0.33,0.04 BLOD,0.72,36.79,61.48,0.13 BLOQ,1.74,0.13 BLOQ,0 BLOD,0.21
26_06_muscle,105.8,2019,06,26,muscle,0,590,148,059°36'W,49°55'S,6,266.4,413.92,4,2.81,0.04 BLOD,0.69,81.19,35.14,0.05 BLOQ,7.17,0.15 BLOQ,0 BLOQ,0.24
26_07_muscle,106,2019,07,26,muscle,0,590,148,059°36'W,49°55'S,6,246.8,320.41,3,14.52,0.04 BLOD,0.63,78.44,63.63,0.06 BLOQ,3.2,0.18 BLOQ,0 BLOD,0.37
26_08_muscle,108.3,2019,08,26,muscle,0,590,148,059°36'W,49°55'S,6,254.0,352.35,3,5.38,0.04 BLOD,1,75.84,59.69,0.1 BLOQ,8.49,0.11 BLOQ,0 BLOD,0.37
26_09_muscle,101.1,2019,09,26,muscle,0,590,148,059°36'W,49°55'S,6,252.1,346.71,3,4.05,0.04 BLOD,1.17,52.14,62.33,0.04 BLOQ,2.08,0.14 BLOQ,0 BLOD,0.33
26_10_muscle,103.1,2019,10,26,muscle,0,590,148,059°36'W,49°55'S,6,281.0,514.47,3,4.04,0.04 BLOD,0.89,46.85,63.23,0.04 BLOQ,5.15,0.15 BLOQ,0.01 BLOQ,0.52
26_11_muscle,100,2019,11,26,muscle,0,590,148,059°36'W,49°55'S,6,284.3,537.33,4,13.68,0.04 BLOD,0.92,71.02,55.17,0.09 BLOQ,2.42,0.14 BLOQ,0.01 BLOQ,0.37
26_12_muscle,102.4,2019,12,26,muscle,0,590,148,059°36'W,49°55'S,6,268.8,435.05,3,9.13,0.04 BLOD,0.86,45.82,51.3,0.13 BLOQ,5.03,0.18 BLOQ,0.01 BLOQ,0.28
26_13_muscle,106.4,2019,13,26,muscle,0,590,148,059°36'W,49°55'S,6,273.7,434.67,4,16.79,0.04 BLOD,0.62,82.97,55.09,0.12 BLOQ,6.16,0.13 BLOQ,0 BLOD,0.23
