Month,Country,Year,PercentChange
October,Argentina,2018,-8.4
November,Argentina,2018,-14
December,Argentina,2018,-14.8
October,Brazil,2018,0.7
November,Brazil,2018,-1.2
December,Brazil,2018,-3.8
October,Uruguay,2018,19.5
November,Uruguay,2018,1.7
December,Uruguay,2018,-8.8
January,Argentina,2019,-11.2
February,Argentina,2019,-8.4
March,Argentina,2019,-14.1
April,Argentina,2019,-8.9
May,Argentina,2019,-6.9
June,Argentina,2019,-7.2
July,Argentina,2019,-1.7
August,Argentina,2019,-6.4
September,Argentina,2019,-5
October,Argentina,2019,-1.8
November,Argentina,2019,-4.3
December,Argentina,2019,1.4
January,Brazil,2019,-1.9
February,Brazil,2019,2.3
March,Brazil,2019,-6.1
April,Brazil,2019,-3.6
May,Brazil,2019,7.98
June,Brazil,2019,-5.8
July,Brazil,2019,-2.5
August,Brazil,2019,-2.1
September,Brazil,2019,1.1
October,Brazil,2019,1.3
November,Brazil,2019,-1.7
December,Brazil,2019,-1.3
January,Uruguay,2019,1.3
February,Uruguay,2019,-2.5
March,Uruguay,2019,-5.5
April,Uruguay,2019,0.4
May,Uruguay,2019,-2.5
June,Uruguay,2019,-9.9
July,Uruguay,2019,0
August,Uruguay,2019,4.1
September,Uruguay,2019,4.3
October,Uruguay,2019,-7.8
November,Uruguay,2019,-1.8
December,Uruguay,2019,3.8
January,Argentina,2020,-0.1
February,Argentina,2020,-0.7
March,Argentina,2020,-16.5
April,Argentina,2020,-33.2
May,Argentina,2020,-26.2
June,Argentina,2020,-6.2
July,Argentina,2020,-6.5
August,Argentina,2020,-7.2
September,Argentina,2020,3.7
October,Argentina,2020,-2.8
November,Argentina,2020,4.5
December,Argentina,2020,5.6
January,Brazil,2020,-0.8
February,Brazil,2020,-0.3
March,Brazil,2020,-3.9
April,Brazil,2020,-27.7
May,Brazil,2020,-21.8
June,Brazil,2020,-8.7
July,Brazil,2020,-2.6
August,Brazil,2020,-2.4
September,Brazil,2020,3.9
October,Brazil,2020,0.3
November,Brazil,2020,2.6
December,Brazil,2020,8.3
January,Uruguay,2020,-3
February,Uruguay,2020,-1.3
March,Uruguay,2020,4.99
April,Uruguay,2020,-19.3
May,Uruguay,2020,-19.6
June,Uruguay,2020,-0.8
July,Uruguay,2020,-5.3
August,Uruguay,2020,-9.9
September,Uruguay,2020,-1.9
October,Uruguay,2020,4.99
November,Uruguay,2020,-10.7
December,Uruguay,2020,1.4
January,Argentina,2021,4.5
February,Argentina,2021,1.7
March,Argentina,2021,33.2
April,Argentina,2021,56.2
May,Argentina,2021,30.3
June,Argentina,2021,19.4
July,Argentina,2021,12.5
August,Argentina,2021,14
September,Argentina,2021,9.8
October,Argentina,2021,4.1
November,Argentina,2021,9.8
December,Argentina,2021,10.4
January,Brazil,2021,2.4
February,Brazil,2021,0.3
March,Brazil,2021,10.5
April,Brazil,2021,34.8
May,Brazil,2021,24.1
June,Brazil,2021,12.1
July,Brazil,2021,1.4
August,Brazil,2021,-0.6
September,Brazil,2021,-4.1
October,Brazil,2021,-7.8
November,Brazil,2021,-4.4
December,Brazil,2021,-5
January,Uruguay,2021,-0.3
February,Uruguay,2021,-0.2
March,Uruguay,2021,3.7
April,Uruguay,2021,24.9
May,Uruguay,2021,22.9
June,Uruguay,2021,19.8
July,Uruguay,2021,18.7
August,Uruguay,2021,14
September,Uruguay,2021,12.2
October,Uruguay,2021,6.9
November,Uruguay,2021,21.1
December,Uruguay,2021,11.3
