ID,Year,Gender,Latitude,Longitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,size,Tissue,pollutant,concentration,status,outlier,dta_km,dtfl_km,dtu_km,dtb_km
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_A,14.51,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_B,0.06,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_C,1.27,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_D,32.49,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_E,68.98,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_F,0.04,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_G,7.67,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_H,0.04,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_I,0.01,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_J,0.41,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Organic_A,0.179,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Organic_B,0.108,Detected,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Organic_C,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_muscle,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),muscle,Organic_D,0.725,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_A,70.5,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_B,0.52,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_C,4.04,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_D,248.38,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_E,214,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_F,2.49,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_G,229.57,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_H,2.06,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_I,0.08,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Metal_J,0.23,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Organic_A,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Organic_B,0.084,Detected,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Organic_C,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_liver,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),liver,Organic_D,6.337,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_A,6.95,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_B,0.05,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_C,2.87,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_D,58.47,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_E,70.66,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_F,0.23,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_G,47.35,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_H,0.11,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_I,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Metal_J,0.6,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Organic_A,1.73,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Organic_B,0.52,Detected,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Organic_C,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_inksac,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),inksac,Organic_D,0.507,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_A,6235.04,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_B,6.74,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_C,1941.69,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_D,80.79,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_E,101.26,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_F,0.16,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_G,15.32,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_H,2.83,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_I,0.02,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Metal_J,0.4,BLOQ,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Organic_A,0.606,Detected,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Organic_B,0.211,Detected,yes,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Organic_C,0,BLOD,no,453.44,508.16,1237.85,1760.54
49_14_stomach,2021,1,46°55'S,60°51'W,5,181,119.6,2,small (181 mm - 237.3 mm),stomach,Organic_D,2.864,Detected,no,453.44,508.16,1237.85,1760.54
49_07_muscle,2021,1,46°55'S,60°51'W,5,183,108.6,1,small (181 mm - 237.3 mm),muscle,Metal_A,14.99,Detected,no,453.44,508.16,1237.85,1760.54
49_07_muscle,2021,1,46°55'S,60°51'W,5,183,108.6,1,small (181 mm - 237.3 mm),muscle,Metal_B,0.06,BLOD,no,453.44,508.16,1237.85,1760.54
49_07_muscle,2021,1,46°55'S,60°51'W,5,183,108.6,1,small (181 mm - 237.3 mm),muscle,Metal_C,1.91,Detected,no,453.44,508.16,1237.85,1760.54
