ID,Year,Gender,dta_km,dtfl_km,dtu_km,dtb_km,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,size,Tissue,Longitude,Metal_A_concentration,Metal_B_concentration,Metal_C_concentration,Metal_D_concentration,Metal_E_concentration,Metal_F_concentration,Metal_G_concentration,Metal_H_concentration,Metal_I_concentration,Metal_J_concentration,Organic_A_concentration,Organic_B_concentration,Organic_C_concentration,Organic_D_concentration,Metal_A_status,Metal_B_status,Metal_C_status,Metal_D_status,Metal_E_status,Metal_F_status,Metal_G_status,Metal_H_status,Metal_I_status,Metal_J_status,Organic_A_status,Organic_B_status,Organic_C_status,Organic_D_status,Metal_A_outlier,Metal_B_outlier,Metal_C_outlier,Metal_D_outlier,Metal_E_outlier,Metal_F_outlier,Metal_G_outlier,Metal_H_outlier,Metal_I_outlier,Metal_J_outlier,Organic_A_outlier,Organic_B_outlier,Organic_C_outlier,Organic_D_outlier
26_01_liver,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,289.1,525.56,4,large (260 mm - 310 mm),liver,59°36'W,87.93,0.35,3.37,135.3,94.39,1.36,184.38,5.33,0.12,0.33,0,0.196,0,4.179,Detected,Detected,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,Detected,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_01_muscle,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,289.1,525.56,4,large (260 mm - 310 mm),muscle,59°36'W,14.9,0.04,1.25,75.36,58.41,0.12,9.52,0.13,0.01,0.42,3.138,0.026,0,0.445,Detected,BLOD,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOQ,Detected,Detected,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_01_stomach,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,289.1,525.56,4,large (260 mm - 310 mm),stomach,59°36'W,11461.24,9.94,601.74,53.17,119.38,0.11,6.46,0.64,0.05,0.06,0,0.109,0,3.526,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOQ,BLOD,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_02_liver,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,276.4,553.24,3,large (260 mm - 310 mm),liver,59°36'W,100.03,0.38,2.86,162.65,126.45,1.82,262.95,1.37,0.04,0.49,0,0.2,0,7.568,Detected,Detected,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,Detected,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_02_muscle,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,276.4,553.24,3,large (260 mm - 310 mm),muscle,59°36'W,2.34,0.04,1.29,24.94,62.39,0.14,1.93,0.11,0,0.56,10.124,0.048,0,1.536,Detected,BLOD,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOD,Detected,Detected,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
26_02_stomach,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,276.4,553.24,3,large (260 mm - 310 mm),stomach,59°36'W,2563.51,7.55,2045.81,127.5,94.79,0.22,6.5,1.16,0.03,0.06,0,0.104,0,0.674,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOQ,BLOD,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_03_liver,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,249,323.08,3,medium (237.4 mm - 258.8 mm),liver,59°36'W,83.17,0.53,3.33,213.96,83.36,1.57,272.03,2,0.01,0.43,5.842,0.59,0,16.463,Detected,Detected,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,Detected,Detected,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_03_muscle,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,249,323.08,3,medium (237.4 mm - 258.8 mm),muscle,59°36'W,19.4,0.04,0.81,31.18,41.98,0.13,6.86,0.17,0,0.24,4.204,0.046,0,0.311,Detected,BLOD,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOD,Detected,Detected,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_03_stomach,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,249,323.08,3,medium (237.4 mm - 258.8 mm),stomach,59°36'W,10651.56,5.23,1769.79,122.86,135.38,0.32,8.06,0.56,0.06,0.06,0,0.138,0,0.533,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,BLOQ,BLOQ,BLOD,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
26_04_liver,2019,0,726.44,192.31,1539.97,2051.74,-49.916666666666664,6,255.7,341.07,4,medium (237.4 mm - 258.8 mm),liver,59°36'W,74.17,0.96,3.01,313.64,123.11,1.15,201.15,4.92,0.11,0.32,0,0.196,0,1.789,Detected,Detected,Detected,Detected,Detected,Detected,Detected,BLOQ,Detected,Detected,BLOD,Detected,BLOD,Detected,no,no,no,no,no,no,no,no,no,no,no,no,no,no
